connectorType,durationSession,durationCharge,energy,cost,tariff,meanPower,maxPower,anomaly
2.0,0.24,0.42,14.142,4.62,0.25,40.676,49.93,1
2.0,0.20000002,0.20000002,1.7579997,-0.07,0.07,17.597,50.07,1
0.0,17.52,17.39,19.05,3.8706002,0.27761856,14.019,7.0699997,1
2.0,3.2500002,1.0699997,29.058,4.7479997,0.174,29.058,50.07,1
0.0,2.4880002,2.5819998,8.92,2.1805997,0.16477197,3.525,7.0559998,1
0.0,16.97,16.98,25.54,5.2183995,0.13103086,1.5779997,21.93,1
2.0,0.25,0.25,8.308,6.9,0.83,65.768,50.0,1
2.0,0.97,0.96,23.72,4.8068,0.20264755,-41.412,50.0,1
2.0,0.5500002,0.438,9.0,0.13,0.120000005,18.966,49.93,1
2.0,0.6900003,0.5399997,0.94700027,-0.07,0.07,21.168,49.93,1
2.0,0.43,0.43,10.834,0.0,0.0,65.38,50.0,1
1.0,1.3100003,0.45,0.07,-0.07,0.7699997,-0.042,7.0699997,1
2.0,0.72000027,0.5799997,16.36,0.009999998,0.14088254,25.347,50.07,1
1.0,16.27,16.27,6.78,0.0,0.0,22.18,7.0,1
2.0,0.83,9.04,24.0,-0.16,0.20231667,2.655,50.0,1
1.0,3.99,9.23,7.06,1.48,0.21,0.765,7.0,1
2.0,0.63,0.63,17.175,2.95,0.17,65.229,50.0,1
2.0,0.29,0.48999977,4.2000003,1.3143997,0.22142857,7.6949997,49.93,1
2.0,0.19,0.5,14.22,3.1443996,0.14514346,33.303,50.07,1
2.0,0.14,0.14,21.176,2.0999997,0.7299997,36.356,50.07,1
2.0,0.14999999,0.14999999,1.5140003,-0.010000004,0.32,19.869999,49.93,1
2.0,1.0699997,0.9679999,25.07,4.9930005,0.13139221,24.961,49.93,1
1.0,9.35,9.35,6.5,28.3,0.0,0.695,7.0,1
2.0,0.29,0.262,8.570001,0.8600003,0.16722223,39.343,50.07,1
2.0,0.4,0.33,4.057,0.10999999,0.17,12.575999,49.958,1
2.0,0.9000003,0.7599997,13.19,7.4500003,0.07,15.737,50.07,1
1.0,5.3399997,5.2000003,0.07,0.07,0.07,-0.07,7.0699997,1
3.0,2.0300002,2.0200002,262.3299,80.38896,0.23679098,167.62396,150.0,1
1.0,17.66,5.0499997,0.07,0.07,0.07,-0.07,7.0699997,1
1.0,2.3800004,0.8000003,8.650001,0.07,0.0,3.6289997,7.0,1
2.0,0.60000026,2.3500004,11.518,13.24,1.2199997,21.67,50.07,1
0.0,0.9600003,2.7400002,9.059999,14.9296,1.7229029,3.1290002,22.07,1
2.0,0.55,0.55,7.37,6.85,0.93,-29.11,50.0,1
2.0,0.47,0.45999998,22.618,2.1439996,0.16648804,22.557,50.07,1
2.0,0.33,0.33,11.892,2.16,0.18,-47.366,50.0,1
2.0,0.116,0.12,4.2400002,2.1399996,0.41,33.224,50.07,1
2.0,0.35,0.35,9.87,0.3,0.110000014,35.57,49.93,1
0.0,2.6100004,2.7499998,31.75,4.18,0.1884161,11.943,21.93,1
1.0,68.47004,68.32996,16.0,27.42,0.07,0.163,22.07,1
2.0,0.32,0.32,9.868,3.26,0.33,65.558,50.0,1
1.0,0.422,0.45,7.1660004,0.3,0.120000005,3.2459998,7.0,1
2.0,0.85000026,0.71999973,14.150001,2.9922004,0.24334458,17.93,50.07,1
2.0,0.6400003,1.0200003,23.088,-0.07,0.0,21.226,49.93,1
2.0,0.75,0.76,17.08,3.5868,0.21,-7.923,50.0,1
1.0,0.52000004,0.8299997,6.048,1.3499997,0.14,6.6190004,7.0699997,1
2.0,0.5,0.51000005,19.58,4.1186,0.1367481,44.589,49.93,1
2.0,0.5900003,0.53,12.6,-0.07,0.0,23.976,49.93,1
0.0,0.7900003,2.4000003,28.23,-0.07,0.0,11.331,22.07,1
1.0,16.619999,16.48,4.976,13.26,1.1199996,0.6969997,7.0,1
2.0,0.62,0.62,12.85,0.0,0.0,60.836,50.0,1
2.0,0.39,0.8099997,10.370999,-0.07,0.0,32.261,49.93,1
2.0,0.7500003,0.8599997,10.450001,2.4611998,0.15730038,11.382,49.93,1
2.0,1.0699997,0.93999976,23.33,4.6758003,0.13281198,23.237999,49.93,1
3.0,1.48,0.23,190.67,35.3556,0.18542823,353.093,150.0,1
3.0,0.7599997,1.8699996,228.38004,70.03116,0.37704393,126.76896,150.0,1
2.0,1.0699997,1.0799997,28.880001,5.6884003,0.12890847,28.733,49.93,1
2.0,0.5700003,0.5700003,26.644001,10.49,0.96999997,20.114,50.07,1
2.0,0.6200003,0.4799998,3.7199998,3.7486002,0.2530585,37.857,49.93,1
2.0,0.78,0.04,13.47,2.928,0.21737194,336.75,50.0,1
2.0,0.07,0.07,0.925,0.51,0.55,68.749,50.0,1
1.0,2.5800004,2.7199998,141.46297,6.2299995,0.23000002,7.817,22.07,1
0.0,0.7000003,0.5699997,4.07,1.2899997,0.224686,6.5389996,21.93,1
0.0,20.35,5.8900003,16.130001,3.0345998,0.113000005,0.7229997,7.0,1
2.0,0.5700003,0.5700003,57.135002,-0.07,0.0,45.13,50.07,1
1.0,1.1,1.1,7.276,6.11,0.84,39.659,22.0,1
0.0,2.2600002,0.66000026,9.25,0.07,0.0,3.9929998,22.07,1
2.0,0.060000002,0.060000002,0.506,-0.07,0.07,30.468,50.07,1
0.0,0.97999996,1.0139999,3.6100004,1.2045997,0.23831522,3.7499998,7.0,1
1.0,4.2,17.17,32.25,0.0,0.0,7.679,7.0,1
2.0,1.0699997,1.0799997,33.18,6.4814005,0.12703459,32.991,49.93,1
2.0,0.80600023,0.8100003,17.78,1.8999997,0.13914287,24.192,50.056,1
2.0,0.54000014,0.41,7.9400005,1.9975997,0.1706492,16.744,49.944,1
2.0,0.23,0.23,9.74,1.84,0.19,61.478,50.0,1
2.0,4.4700003,0.83999974,17.57,3.2785997,0.11334857,19.161001,50.07,1
2.0,0.8700003,0.42,17.300001,0.07,0.0,21.782,49.93,1
1.0,0.87,0.87,1.66,0.35,0.21,17.687,7.0,1
1.0,2.9000003,1.4799997,10.4800005,0.07,0.0,3.6219997,7.0699997,1
2.0,0.3,0.14,10.66,0.07,0.0,46.722,50.07,1
3.0,0.099999994,0.12,3.9100003,0.8600003,0.3530151,79.67004,149.92996,1
2.0,0.14999999,0.34,3.2700002,0.07,0.0,12.44,49.93,1
2.0,0.92,7.75,18.16,3.782,0.20825991,2.343,50.0,1
0.0,2.4000003,0.9200003,2.8300004,0.07,0.07,3.4819996,7.0699997,1
0.0,58.28,58.28,2.47,0.915,0.37044534,41.367,22.0,1
1.0,1.0899997,0.9499998,4.9100003,0.7600003,0.5499997,4.8120003,7.0,1
2.0,0.42,0.41,1.54,0.7442,0.48324674,-41.985,50.0,1
2.0,0.15,0.15,6.71,0.0,0.0,68.001,50.0,1
1.0,7.2900004,3.1399996,8.38,0.07,0.0,2.7769997,7.0699997,1
2.0,0.45999998,0.32,3.0589998,1.4428003,0.25248492,21.186,49.93,1
0.0,0.9599999,0.52000004,4.3,1.3387997,0.22034326,4.3129997,50.07,1
1.0,4.17,4.17,8.58,0.0,0.0,-6.472,7.0,1
2.0,1.07,0.45,51.37,0.0,0.0,48.009,50.0,1
2.0,0.266,0.22800002,2.1309998,3.3216002,0.42329165,35.626,49.93,1
2.0,1.0699997,0.38,28.43,5.2794,0.112785965,28.57,49.972,1
1.0,147.94997,68.740036,0.07,0.07,0.07,-0.07,7.0699997,1
2.0,0.9200003,0.80799985,30.028,0.48800004,0.113000005,35.364,49.93,1
2.0,1.0000002,0.92599994,24.56,4.8954005,0.13159968,26.272,49.93,1
2.0,1.0000002,0.8599997,25.699999,0.010000004,0.1127858,27.629,50.07,1
2.0,1.1499997,1.0100003,14.455999,4.76,0.22999999,27.407,49.93,1
0.0,2.7600002,0.8300003,15.518001,3.3761997,0.14248073,5.5299997,22.07,1
2.0,0.19999999,0.19999999,2.8700004,0.05,0.18,22.685,49.93,1
2.0,0.3,0.8219999,23.28,4.3399997,0.11286938,27.541,50.07,1
2.0,0.13599999,0.12,2.9440002,0.9000003,0.21000001,37.717,49.93,1
2.0,0.132,0.12,2.7800002,0.5946003,0.11407018,31.737,49.93,1
0.0,72.46996,19.77,45.86,8.9394,0.2631069,2.2450004,7.0699997,1
2.0,0.34,0.34,6.255,0.3,0.8299997,23.496,49.93,1
0.0,2.3439999,2.4199996,10.26,-0.07,0.0,4.4659996,7.0,1
0.0,0.15,0.15,6.92,0.0,0.0,46.133,22.0,1
2.0,0.23,0.23,5.134,1.15,0.22,-47.168,50.0,1
1.0,0.030000009,0.058000006,-0.01600001,0.144,0.35,4.7300005,7.0,1
0.0,0.64,2.23,7.36,1.8056,0.24532609,3.3,7.0,1
2.0,1.0699997,0.9499998,17.776001,3.6510003,0.26516244,17.371,50.07,1
1.0,16.84,16.7,12.18,4.74,0.7399997,0.6599997,7.0699997,1
1.0,0.39,0.25,3.2199998,0.83999974,0.35999998,9.774,7.0699997,1
2.0,0.48,0.48,11.27,32.52,0.0,23.479,50.0,1
0.0,4.04,3.9000003,9.97,0.5500002,0.11348607,2.5989997,21.93,1
3.0,0.9599999,1.1099997,141.57004,26.2942,0.25631943,135.98796,150.0,1
1.0,1.9699997,1.8300003,6.9600005,1.6399997,1.0400003,3.6300004,7.0699997,1
0.0,14.0,13.926,13.54,16.052,1.1042839,1.0459999,21.93,1
2.0,0.57,0.57,10.5,0.0,0.0,60.63,50.0,1
0.0,17.67,17.596,24.09,-0.07,0.0,1.4419997,7.0699997,1
2.0,1.12,1.12,14.3,2.6108,0.18257342,61.844,50.0,1
2.0,0.3,0.23000002,1.2989997,2.4188004,0.29482386,36.97,49.93,1
2.0,0.110000014,0.32,3.8109996,-0.07,0.0,20.713001,50.07,1
0.0,44.65,17.98,12.83,0.07,0.0,0.7900003,7.0,1
1.0,79.30004,79.159966,0.07,-0.07,0.07,-0.07,7.0699997,1
2.0,0.5700003,0.51400006,19.01,0.24,0.11287212,38.23,50.07,1
2.0,0.5900003,0.60000026,24.14,4.8502,0.13207354,45.749,49.93,1
1.0,139.29004,139.14996,0.07,-0.07,0.07,-0.07,7.0699997,1
2.0,0.17,0.396,8.440001,2.0951996,0.16797885,25.098999,49.93,1
2.0,0.07,0.58999974,7.36,1.8877997,0.17465681,11.328,50.07,1
0.0,1.5,13.45,35.8,7.015,0.19594972,10.816,22.0,1
1.0,2.0499997,1.9100003,1.4189997,4.1200004,0.6400003,3.6470003,21.93,1
2.0,0.5,0.398,9.47,2.2361999,0.1754675,21.751999,49.93,1
2.0,-0.042,0.07,0.050000004,0.07000001,1.2199997,-0.07,49.93,1
2.0,0.4799998,0.19,4.5399995,0.7473997,0.25286353,37.18,49.93,1
2.0,0.45,0.31,0.474,4.1900005,0.66000026,18.93,49.93,1
2.0,0.5220001,0.442,7.569,5.7738004,0.40128118,37.462,49.93,1
2.0,0.9,3.31,22.889,3.81,0.17,25.432,50.0,1
2.0,0.54000014,0.41,7.4600005,1.9121997,0.17464808,15.716,49.972,1
1.0,21.74,21.6,1.2149997,0.58999974,0.29,0.068,7.0,1
2.0,4.0400004,0.9000003,14.07,4.8036,0.2681143,16.937,50.07,1
2.0,0.60000026,0.48799986,25.081999,0.254,0.10000001,47.262,49.93,1
2.0,0.028,0.07,0.067999996,1.1378003,0.11272316,-0.07,49.93,1
2.0,1.6600003,0.52000004,11.42,2.6075997,0.2375771,25.292,50.07,1
2.0,0.6800003,0.89999974,23.092001,3.84,0.10000001,23.890999,49.93,1
2.0,0.39,0.8199997,9.812,0.014000001,0.0,11.047999,49.93,1
2.0,0.060000002,0.060000002,6.8149996,1.3340002,0.266,51.815,50.07,1
2.0,0.22999999,0.376,3.8900003,2.7999997,0.6199997,12.445,49.93,1
0.0,18.36,8.5,12.990001,2.9247997,0.14859113,0.6379997,22.07,1
2.0,0.47,0.34,3.1539998,2.0406003,0.3045111,21.881,49.93,1
1.0,2.2500002,0.66000026,4.4500003,0.07,0.0,2.0179996,7.028,1
2.0,0.28,0.28,17.941,-0.07,0.0,50.99,50.07,1
1.0,1.0200001,0.8799997,-0.241,-0.07,0.07,3.1190002,7.0699997,1
0.0,0.07,0.07,299.9669,0.07,0.0,-0.07,7.0,1
2.0,0.055999998,0.08,-0.07,-0.07,0.0,-0.07,49.93,1
0.0,10.79,2.6900003,11.490001,0.07,0.07,4.258,21.944,1
2.0,0.32,1.0200003,10.48,0.07,0.0,41.71,50.07,1
2.0,0.13,0.28,9.18,2.2293997,0.16344866,44.118,49.972,1
2.0,0.22,0.10999999,6.07,0.07,0.0,41.003,49.972,1
1.0,0.8200003,0.6799997,7.6499996,0.07,0.07,10.037001,7.0699997,1
3.0,1.9199997,8.860001,220.45303,33.5,0.08000001,119.05596,150.0,1
2.0,0.08,0.08,3.176,0.0,0.0,69.824,50.0,1
1.0,1.9,1.9,0.0,0.0,0.83,26.539,7.0,1
1.0,15.74,15.6,2.9539998,2.2400002,0.4,0.377,7.0,1
2.0,0.9400003,0.8379998,21.41,4.3220005,0.13446929,24.479,49.93,1
2.0,0.34,0.6100003,18.4,3.8709998,0.13806714,34.274,49.93,1
2.0,1.0899997,0.9499998,15.288,5.5200005,0.07,14.85,50.07,1
2.0,0.19999999,0.19999999,3.3500004,0.8700003,1.1400003,26.378,50.07,1
2.0,0.328,0.33200002,18.11,3.6998003,0.13896896,50.041,50.07,1
0.0,0.07,0.08,-0.014000001,-0.07,0.0,-0.07,21.93,1
0.0,15.599999,15.61,27.92,5.5176005,0.12962845,1.8709997,21.93,1
1.0,16.18,16.18,13.16,11.98,0.91,19.068,7.0,1
1.0,6.5399995,6.4,0.07,0.07,0.07,-0.07,7.0699997,1
2.0,0.9000003,0.84,21.56,4.3464003,0.13417938,25.82,49.93,1
3.0,0.44999993,0.43999997,63.28,11.9592,0.26030535,154.30396,150.0,1
2.0,0.5700003,0.5800003,20.93,4.2786,0.1350762,41.246,49.93,1
2.0,0.34,0.34,3.8500004,0.22999999,0.7899997,14.589,50.07,1
2.0,1.0,1.0,17.767,3.04,0.17,63.252,50.0,1
3.0,1.2599998,4.0600004,162.50003,-0.07,0.0,136.42596,150.0,1
0.0,4.18,4.18,0.0,0.0,0.0,-3.166,7.0,1
2.0,0.7599997,0.64999974,42.62,3.4000003,0.26382375,59.027,50.07,1
1.0,1.4199997,1.2800003,7.5350003,0.8400003,1.0300003,5.563,7.0,1
3.0,1.5199997,1.5199997,897.1992,16.64,0.08000001,75.035965,150.0,1
1.0,13.54,22.32,29.53,4.8,0.16,1.323,7.0,1
1.0,18.0,17.902,10.09,9.030001,0.07,0.48899978,7.0,1
2.0,0.08000001,0.12,1.7700003,1.2999997,0.5999997,12.337,49.93,1
2.0,0.5900003,1.5800003,20.442999,-0.07,0.0,39.249,50.07,1
2.0,0.15,0.15,6.158,1.3,0.21,-48.531,50.0,1
2.0,0.7,8.4,17.84,3.7332,0.20926009,2.124,50.0,1
2.0,-0.019999998,-0.019999998,2.2699997,0.6999997,0.42,53.379,50.07,1
2.0,0.32999998,0.61,17.99,3.3761997,0.11306755,29.677,50.014,1
1.0,0.010000004,0.010000004,0.7870003,-0.07,0.07,8.892,7.0699997,1
1.0,16.35,16.35,8.34,0.0,0.0,19.87,7.0,1
2.0,0.44,1.4900002,16.26,3.4981997,0.141748,43.827,50.07,1
2.0,1.9199997,1.7900003,28.220001,9.019,0.25127962,15.28,49.93,1
2.0,0.52000004,0.38,4.4149995,1.8400003,0.26,22.681,49.93,1
1.0,1.9399997,1.8000003,19.486,7.3100004,0.45,10.313001,7.0699997,1
1.0,0.81,3.08,4.99,1.12,0.22,1.62,22.0,1
1.0,1.87,1.87,2.521,2.07,0.82,-20.243,22.0,1
0.0,1.1499997,1.0200003,1.6399997,-0.07,0.07,1.3700004,22.07,1
2.0,0.214,0.21,8.690001,2.1317997,0.16536531,41.7,49.93,1
0.0,2.4,2.4,14.86,3.1842,0.21427995,18.557,7.0,1
2.0,0.60000026,1.2500004,11.26,2.6075997,0.15397176,21.447,50.07,1
2.0,0.72000027,0.5799997,2.1829996,15.79,1.3299997,19.296,50.028,1
2.0,0.66,0.66,10.59,1.9398,0.1831728,62.592,50.0,1
1.0,1.93,1.93,5.45,27.67,0.0,2.824,7.0,1
2.0,0.24,0.24,6.28,0.22,0.18552756,37.423,49.986,1
1.0,1.22,1.22,7.34,0.0,0.0,20.921,7.0,1
0.0,5.9800005,6.1299996,33.36,20.7554,0.69295573,5.587,22.07,1
2.0,1.2,1.2,31.69,10.126,0.319533,-17.973,50.0,1
2.0,0.03,0.03,0.88,31.66,0.0,29.333,50.0,1
0.0,0.07,0.07,100.17296,0.07,0.0,0.07,22.07,1
0.0,2.8300004,2.9799998,19.68,4.0328,0.136319,6.857,21.93,1
2.0,0.3,0.31,2.8200004,0.16,0.39435986,12.1119995,50.07,1
2.0,0.8,0.8,12.59,0.0,0.0,-28.39,50.0,1
2.0,0.78,0.78,21.95,4.0138,0.18286105,61.089,50.0,1
2.0,0.52000004,0.38,11.497,26.09,0.07,25.323,49.93,1
2.0,0.5,0.17999999,2.9600003,1.0825996,0.26419142,6.956,49.944,1
0.0,18.95,40.34,8.6,2.0374,0.23690698,0.454,22.0,1
1.0,8.700001,8.700001,15.299999,8.58,0.07,1.6670003,7.0,1
0.0,3.6300004,3.6400003,87.58896,2.8214004,0.28821886,3.6409998,7.0699997,1
2.0,0.85000026,0.71999973,16.522,3.4192004,0.2108278,21.019,49.972,1
1.0,-9.313226e-10,0.07,0.07,-0.07,0.0,-0.07,7.0,1
2.0,1.0699997,1.0699997,44.75,-0.0139999995,0.0,4.5660005,50.07,1
2.0,0.42,0.364,10.79,0.8600003,0.113112345,31.098999,49.93,1
2.0,0.72000027,0.77999973,15.56,0.56000024,0.14230967,18.458,49.93,1
1.0,18.884,18.856,0.07,0.07,0.07,-0.07,7.0699997,1
2.0,0.45,0.45999998,19.27,-0.07,0.0,49.52,50.07,1
2.0,0.6200003,0.56400007,14.028,0.17999999,0.110000014,25.703,49.93,1
2.0,0.6200003,0.56,17.130001,3.5412004,0.1399535,30.784,49.93,1
0.0,3.9100003,4.06,15.63,3.2728002,0.1429172,4.0049996,21.93,1
2.0,0.26000002,0.030000009,3.0299997,0.93039966,0.40797296,29.53,50.07,1
2.0,0.8700003,0.8700003,39.956,-0.07,0.0,49.962,50.07,1
2.0,0.5,16.77,14.34,3.0866,0.21524407,0.855,50.0,1
2.0,1.1399997,2.9400003,39.11,7.6828,0.125,12.900001,50.07,1
1.0,1.78,4.87,11.58,2.11,0.18,6.506,7.0,1
2.0,0.35,0.322,12.68,1.9399997,0.2716,45.606,49.958,1
0.0,17.7,6.1899996,13.530001,3.0223997,0.14708824,0.6959997,7.0699997,1
2.0,7.9300003,2.8799996,5.083,0.07,0.07,0.5739997,50.07,1
2.0,1.8700004,0.54000014,19.26,7.5499997,0.348,40.9,50.07,1
2.0,0.60000026,0.47399986,2.5940003,0.19999999,0.22,5.0959997,49.986,1
2.0,0.4,0.16,12.77,2.3699996,0.110000014,38.979,50.07,1
2.0,0.49999973,0.49999973,13.200999,12.92,0.07,22.967001,50.042,1
2.0,0.8200003,0.8100003,37.260002,-0.07,0.0,50.376,50.07,1
1.0,20.4,20.26,28.735,2.7699997,0.8599997,0.213,7.0699997,1
0.0,0.9400003,0.8199997,5.6000004,1.5705997,0.1946561,6.4409995,50.056,1
1.0,4.3,4.3,-8.12,33.08,1.24,-1.888,7.0,1
2.0,0.5,0.412,11.02,2.5587997,0.15441841,25.275,50.07,1
1.0,4.9500003,4.9500003,111.74196,-0.07,0.07,3.6669996,22.07,1
2.0,1.0200001,1.0200001,67.938965,-0.07,0.0,21.61,50.07,1
2.0,1.0000004,0.4,52.0,10.037399,0.26193914,48.463,50.07,1
2.0,0.4,0.5999997,8.181001,0.07,0.0,25.073,49.93,1
2.0,0.362,0.25,0.7790003,-0.07,0.07,26.601,49.93,1
2.0,0.97000027,0.8299997,20.72,6.6888003,0.39730266,57.847,50.07,1
2.0,0.5,0.5,18.988,3.22,0.17,-37.039,50.0,1
2.0,0.52,0.52,19.91,6.5392,0.32843798,61.867,50.0,1
2.0,0.37,0.5399997,7.785,-0.042,0.0,26.067,49.93,1
3.0,1.58,0.16,200.88,37.2222,0.1852957,1255.5,150.0,1
0.0,3.18,7.45,11.31,2.5376,0.22436781,3.557,22.0,1
2.0,0.3,0.9599999,4.106,1.2899997,0.22611651,3.9300003,50.07,1
2.0,0.1,0.099999994,0.6110003,-0.07,0.0,18.103,49.93,1
2.0,0.23000002,0.23000002,1.1659997,1.0890003,0.37340313,12.663,50.07,1
1.0,168.14996,168.29004,24.5,15.320001,0.7000003,0.21499999,7.0699997,1
0.0,0.5900003,0.45999986,1.57,-0.07,0.014000001,2.8920002,7.0,1
2.0,0.47,0.368,9.62,2.2605999,0.17440248,23.704,49.93,1
2.0,0.54000014,0.456,10.772,0.27,0.110000014,23.138,49.93,1
2.0,0.35,0.35,6.51,0.0,0.0,58.785,50.0,1
1.0,0.6,0.6,2.18,0.35,0.16,-6.851,7.0,1
2.0,0.17,0.25800002,1.9800003,2.4699998,1.2399997,20.528,49.93,1
2.0,0.48,0.48,12.33,36.68,0.0,25.688,50.0,1
2.0,0.39,0.358,2.7100003,1.0459999,0.28107914,8.4939995,49.93,1
0.0,16.97,16.83,15.05,0.17999999,0.14382276,0.9650003,22.07,1
2.0,1.2499996,1.1340003,4.3500004,-0.042,0.0,3.7839997,49.93,1
2.0,0.07,0.07,2.44,15.94,0.0,34.857,50.0,1
2.0,0.25,0.25,8.077001,0.05,0.13000001,45.331,50.07,1
2.0,0.31,0.54000014,17.44,3.2785997,0.11324386,37.325,49.93,1
2.0,0.48,0.48,8.28,2.989,0.36099035,59.646,50.0,1
2.0,0.25,0.26,32.407,2.6685996,0.30122858,36.912,49.93,1
1.0,14.542,4.49,19.52,3.3599997,0.10000001,1.2650003,7.0699997,1
1.0,8.08,28.6,0.0,0.0,0.0,0.0,7.0,1
2.0,0.5500002,0.458,12.85,2.7604003,0.19107121,25.91,49.93,1
2.0,0.4,0.4,98.50396,2.0099998,0.120000005,31.782,50.07,1
2.0,0.60000026,0.59600025,21.43,4.3342004,0.13484652,39.885,49.93,1
