connectorType,durationSession,durationCharge,energy,cost,tariff,meanPower,maxPower,anomaly
2.0,0.23000002,0.23000002,6.9279995,8.88,0.07,22.79,50.07,1
3.0,6.63,1.4300003,112.34996,16.98,0.22,74.87696,150.0,1
2.0,0.5799997,0.35,7.68,9.313226e-10,0.07,27.109001,49.93,1
2.0,1.0899997,1.0899997,30.527,-0.07,0.0,11.528,50.07,1
0.0,15.76,15.91,39.28,-0.07,0.0,2.5539997,7.0699997,1
2.0,0.5700003,0.49599996,3.1800003,0.056,0.0,6.443,49.93,1
2.0,0.6200003,0.5179998,12.400001,2.6750002,0.20612831,22.338,49.93,1
1.0,1.7999997,1.6600003,1.5839998,6.0000005,1.0999997,3.3350003,7.0,1
0.0,4.5,4.49,21.78,4.453,0.20445363,23.127,7.0,1
2.0,0.25,0.5799997,5.28,0.07,0.0,8.301,49.958,1
2.0,0.7000003,0.5979998,15.62,3.2606003,0.17027535,24.586,49.93,1
0.0,0.32,0.6799997,4.998,1.4607997,0.20595238,6.65,22.07,1
2.0,0.7400003,0.5999997,3.3459997,4.2100005,0.54000014,13.529,50.07,1
0.0,0.78000027,0.6399997,6.3489995,2.6018002,0.25312543,20.619,21.93,1
2.0,0.0,0.0,9.83,2.257,0.22960326,-16.893,50.0,1
0.0,19.2,0.36,26.49,5.307,0.20033975,73.583,22.0,1
2.0,0.39,0.39,47.907,1.3299997,0.14,18.536,50.07,1
0.0,11.549999,11.43,21.050001,17.742,0.9133715,1.9069997,21.93,1
1.0,18.550001,18.676,0.07,0.07,0.60000026,-0.07,7.0699997,1
1.0,23.27,23.27,23.03,15.66,0.68,24.64,7.0,1
2.0,0.39,0.316,9.64,-0.07,0.0,29.494,49.93,1
2.0,0.48999998,0.39000002,7.26,1.8755997,0.17633016,16.005001,49.93,1
0.0,9.04,29.38,21.65,3.965,0.18314087,2.395,22.0,1
2.0,0.7060002,0.5799997,8.719999,7.4700003,0.07,13.238,50.07,1
1.0,4.55,4.55,1.77,0.0,0.0,-21.315,22.0,1
2.0,1.02,1.02,16.084,2.79,0.17,-25.493,50.0,1
2.0,0.47,0.47,13.78,2.989,0.21690856,59.689,50.0,1
2.0,0.089999996,0.14,-0.07,-0.07,0.0,-0.07,49.93,1
1.0,35.85,35.71,15.52,0.9400003,0.10000001,0.506,22.07,1
1.0,0.8700003,0.7299997,5.982,1.3399997,0.196,7.3550005,7.0699997,1
2.0,5.5800004,2.0999997,22.75,-0.07,0.0,11.102,50.07,1
0.0,13.45,118.0,20.1,4.148,0.20636816,0.17,22.0,1
2.0,2.2200003,0.5700003,17.289999,0.07,0.07,34.51,50.07,1
2.0,1.0,4.67,21.56,7.0394,0.32650277,21.347,50.0,1
2.0,0.42,0.42,41.527,1.7047997,0.11306831,25.584,50.07,1
1.0,17.52,17.380001,10.78,9.89,1.0000002,12.308001,7.0699997,1
2.0,0.37,0.37,6.013,1.28,0.21,-23.949,50.0,1
0.0,4.45,4.5299997,21.03,-0.07,0.0,4.8009996,22.042,1
2.0,0.48,0.48,13.37,0.0,0.0,-38.284,50.0,1
2.0,0.9000003,0.7699997,17.42,5.7250004,0.26133218,20.890999,49.93,1
1.0,2.63,2.63,1.58,0.0,0.0,18.57,7.0,1
2.0,0.099999994,0.37,0.4799998,0.6312003,0.9503635,1.3199997,49.93,1
2.0,0.099999994,0.081999995,1.12,0.07,0.0,28.014,49.93,1
1.0,4.89,4.7500005,0.7450003,-0.07,0.07,1.8080003,7.0699997,1
2.0,0.19,0.52000004,13.279,2.4499998,0.110000014,29.734,49.93,1
2.0,0.22,0.4799998,3.5679996,-0.07,0.0,23.25,49.93,1
1.0,3.9699998,3.9699998,31.0,3.8399997,0.46999988,1.8619998,7.0699997,1
2.0,1.0000002,0.8599997,17.88,19.47,0.07,19.081,49.93,1
3.0,1.4699997,1.4599997,100.81996,2.1200004,0.11755279,72.65304,149.92996,1
2.0,0.85,0.84,27.31,5.4656,0.20013182,67.182,50.0,1
1.0,3.3,12.13,4.82,0.0,0.0,1.461,7.0,1
2.0,0.22,0.22,8.3,1.9886,0.23959036,-8.903,50.0,1
2.0,0.056,0.089999996,0.6999997,0.5900003,0.6099997,11.07,49.93,1
2.0,0.42,0.28,11.243,7.9700003,0.7900003,52.485,50.07,1
2.0,2.2999997,2.1600003,45.05,-0.07,0.07,60.383,50.07,1
1.0,0.03,0.03,7.936,0.0,0.0,264.533,22.0,1
0.0,2.68,2.69,10.05,0.0,0.0,25.615,7.0,1
2.0,0.8700003,0.7399997,5.7100005,1.5949997,0.19384083,7.206,49.93,1
2.0,0.39,0.25,4.873,1.1899997,0.3,54.366,50.07,1
2.0,1.5300003,0.47,11.361,2.1399996,0.194,28.296999,50.07,1
2.0,1.4999996,3.1200004,33.25,-0.07,0.0,10.331,50.07,1
2.0,1.0699997,1.0699997,28.550001,2.0199997,0.09,28.69,49.93,1
0.0,69.94004,69.799965,50.076,1.4973997,0.20188573,0.145,21.93,1
0.0,0.25,0.5099997,0.93999976,0.7166003,0.7101983,1.6710004,22.07,1
2.0,0.25,0.19,7.11,2.7295997,0.30041784,37.859,49.93,1
1.0,2.12,2.0640001,14.79,2.6139998,0.198,6.939,7.0699997,1
2.0,0.7500003,0.7500003,83.05696,-0.055999998,0.0,42.607998,49.93,1
2.0,1.0200001,0.20000002,10.059999,3.4436004,0.4217117,37.07,50.07,1
1.0,3.27,8.85,5.51,4.24,0.77,0.623,7.0,1
2.0,0.77,0.77,4.0,1.1956,0.2989,-26.203,50.0,1
2.0,0.42,1.0100003,12.009999,-0.07,0.0,34.184,50.07,1
