iter	Logloss
0	0.5255990811
1	0.4212949988
2	0.3498788782
3	0.3110159465
4	0.285676939
5	0.254585238
6	0.2354204649
7	0.2232064924
8	0.2109937846
9	0.1992929405
10	0.1923406686
11	0.1862613687
12	0.1797927469
13	0.1761727547
14	0.170277785
15	0.1668655775
16	0.1638417809
17	0.1610666804
18	0.1599509835
19	0.1577202544
20	0.1558183002
21	0.1541368743
22	0.1533836807
23	0.152110372
24	0.1510727347
25	0.1498357069
26	0.1488835736
27	0.1482754542
28	0.1475714006
29	0.1465793403
30	0.1448507039
31	0.1441786383
32	0.1437068216
33	0.1432588145
34	0.1430060283
35	0.142367219
36	0.1417515156
37	0.1410097335
38	0.1397558903
39	0.1393121006
40	0.1390896394
41	0.1385565964
42	0.1380737486
43	0.1378975075
44	0.137603358
45	0.1373066699
46	0.1362655519
47	0.1360658874
48	0.1358605362
49	0.1353333159
50	0.1349841033
51	0.1345962811
52	0.1340687364
53	0.1336952484
54	0.1334901536
55	0.1329693988
56	0.1327581802
57	0.1325975073
58	0.1324635757
59	0.1321284151
60	0.131905192
61	0.1317835505
62	0.1315948836
63	0.1314463407
64	0.1311683684
65	0.1307324414
66	0.1304783154
67	0.1302146553
68	0.1298480427
69	0.1297383366
70	0.1295128789
71	0.1292884292
72	0.1291217855
73	0.1289368302
74	0.1287277362
75	0.1286672034
76	0.1283503397
77	0.1279014916
78	0.1276551609
79	0.1273217656
80	0.1271212137
81	0.1269353038
82	0.1268375447
83	0.1266081877
84	0.1264457221
85	0.1263250388
86	0.1261940385
87	0.1260196157
88	0.1258904434
89	0.1257592414
90	0.1257234443
91	0.1256311893
92	0.1253501008
93	0.1251683087
94	0.1251138598
95	0.1250180314
96	0.124805641
97	0.1246137443
98	0.1244817752
99	0.1243660429
100	0.1243199348
101	0.1241419391
102	0.1239362089
103	0.1237845712
104	0.123641337
105	0.1235306756
106	0.1234026144
107	0.1231576785
108	0.1229684413
109	0.1228539157
110	0.1225969007
111	0.122413084
112	0.1222922272
113	0.1221291883
114	0.122062392
115	0.1218944347
116	0.1217815286
117	0.1217282383
118	0.121601656
119	0.1215115302
120	0.1213580293
121	0.1212368202
122	0.1211828322
123	0.1211339959
124	0.1210606134
125	0.1209674892
126	0.1208544881
127	0.1207326513
128	0.1206326257
129	0.1205876408
130	0.1204939347
131	0.1204248187
132	0.1203287682
133	0.1202650018
134	0.1201019403
135	0.1200419168
136	0.1199576703
137	0.1198762731
138	0.1198000224
139	0.1197440425
140	0.1196662263
141	0.119511556
142	0.119420629
143	0.1193557473
144	0.1193287088
145	0.1191996601
146	0.1190957192
147	0.1190186352
148	0.1189274621
149	0.1188143726
150	0.1187601362
151	0.1186956777
152	0.1185932635
153	0.1185237299
154	0.1184590119
155	0.1184015323
156	0.1183455921
157	0.1183182576
158	0.118186666
159	0.1180142393
160	0.1179675813
161	0.1179058989
162	0.1177948236
163	0.1177063099
164	0.1175982978
165	0.1175046312
166	0.1174203617
167	0.1173067184
168	0.1172528589
169	0.1171983067
170	0.1171729006
171	0.1171034975
172	0.1170253381
173	0.1169677009
174	0.1169264365
175	0.1168652016
176	0.1167885286
177	0.1167198707
178	0.1166372941
179	0.1166005861
180	0.1165530415
181	0.116405261
182	0.1163272614
183	0.1162959567
184	0.116263146
185	0.1162419369
186	0.1161716907
187	0.1161400167
188	0.1160801955
189	0.1160212461
190	0.1159630535
191	0.1159321272
192	0.1158807155
193	0.1158378017
194	0.1157648681
195	0.1156195999
196	0.115535743
197	0.1154797262
198	0.115426568
199	0.1153728988
200	0.1153123658
201	0.1152343104
202	0.1151927042
203	0.115112398
204	0.115075928
205	0.115023492
206	0.1149690943
207	0.1149448815
208	0.1149269467
209	0.1148519067
210	0.1147998465
211	0.1147617686
212	0.1146608301
213	0.1146256582
214	0.1145240681
215	0.1144582622
216	0.1143615319
217	0.1143320367
218	0.1142880646
219	0.1142473574
220	0.1142331595
221	0.1142212513
222	0.1141420466
223	0.1140668636
224	0.1140072187
225	0.1138789115
226	0.1138340778
227	0.1137818453
228	0.1137507537
229	0.1137234451
230	0.1136729179
231	0.1136321599
232	0.1135865774
233	0.1135240702
234	0.1134550299
235	0.1134043666
236	0.1133532964
237	0.1132944868
238	0.1132386992
239	0.1132126992
240	0.113183741
241	0.113169572
242	0.1131292227
243	0.1131073021
244	0.113037828
245	0.1130139688
246	0.1129833496
247	0.1129464181
248	0.1129001884
249	0.1128742465
250	0.1128444501
251	0.1128119134
252	0.1127626068
253	0.112736217
254	0.1126929419
255	0.1126474912
256	0.1126071879
257	0.1125756353
258	0.1125224455
259	0.1124769155
260	0.1124501088
261	0.1124140059
262	0.1123257294
263	0.1122848181
264	0.1122584354
265	0.1121893689
266	0.1120873435
267	0.1120530162
268	0.1120007198
269	0.1119411534
270	0.1118907415
271	0.1118578946
272	0.1118465607
273	0.111810377
274	0.1117751664
275	0.111761546
276	0.111736031
277	0.1116905608
278	0.1116570205
279	0.1115952421
280	0.1115520454
281	0.1115133397
282	0.1114971017
283	0.1114678163
284	0.1114503147
285	0.1113912046
286	0.1113681206
287	0.1113392185
288	0.1112691188
289	0.1112313029
290	0.1111913079
291	0.1111534977
292	0.1111170089
293	0.1110717541
294	0.11104907
295	0.1110139632
296	0.110962555
297	0.110924547
298	0.1108914555
299	0.1108703674
300	0.1108286911
301	0.110804811
302	0.1107709119
303	0.1107564211
304	0.1106999805
305	0.1106751814
306	0.1106574757
307	0.1106293754
308	0.1105818841
309	0.1105422028
310	0.1105067562
311	0.1104672125
312	0.1104366797
313	0.1104024799
314	0.1103783894
315	0.1103503039
316	0.110325875
317	0.1103088746
318	0.1102803751
319	0.1102622664
320	0.1102257999
321	0.1102130961
322	0.1101534748
323	0.1101315186
324	0.110110361
325	0.1100871886
326	0.1100590176
327	0.1100441439
328	0.1100256206
329	0.1099933457
330	0.1099544365
331	0.1099253913
332	0.1098860408
333	0.1098665944
334	0.1098511991
335	0.1098223262
336	0.1097985546
337	0.1097657922
338	0.1097051644
339	0.1096903977
340	0.1096636638
341	0.1096120751
342	0.10958415
343	0.1095456638
344	0.1095297133
345	0.1095179998
346	0.1095027309
347	0.109470537
348	0.1094468815
349	0.1093916462
350	0.1093561576
351	0.1093270421
352	0.1093057982
353	0.109278481
354	0.1092628977
355	0.109245416
356	0.1092266814
357	0.1092072871
358	0.1091833879
359	0.1091670445
360	0.1091571686
361	0.109150247
362	0.1091228583
363	0.1090902175
364	0.1090657864
365	0.1090550802
366	0.1090430943
367	0.1090336831
368	0.1090211495
369	0.1089997664
370	0.108985256
371	0.108965781
372	0.1089496939
373	0.1089281603
374	0.1089028109
375	0.1088827939
376	0.1088474299
377	0.1088243116
378	0.1087909592
379	0.1087746894
380	0.1087654289
381	0.1087428963
382	0.1087183002
383	0.1087076768
384	0.1086914246
385	0.1086637985
386	0.1086393073
387	0.108618906
388	0.1085767996
389	0.1085389462
390	0.1085115966
391	0.1085033311
392	0.1084900444
393	0.1084721426
394	0.10844781
395	0.1084407167
396	0.108434615
397	0.1084192899
398	0.1083853808
399	0.1083684426
400	0.1083471962
401	0.10832067
402	0.1082968296
403	0.1082717285
404	0.108258872
405	0.1082144539
406	0.108189633
407	0.1081650914
408	0.1081392253
409	0.1081325999
410	0.108119946
411	0.1081119463
412	0.1080860728
413	0.1080650451
414	0.1080443108
415	0.1080148473
416	0.1080016983
417	0.1079673766
418	0.1079476115
419	0.1079220943
420	0.1079001544
421	0.107885463
422	0.1078710493
423	0.1078144892
424	0.1077878062
425	0.107777714
426	0.1077588887
427	0.1077147232
